"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1189","2","53","1","1","1","3","1","3","4","4","3","4","4","4","4","3","4","3","3","3","4","4","4","3","3","1","4","3","3","3","4","4","4","4","4","3","4","3","4","4","4","2","2","2","2","2"
"1190","2","20","2","1","1","0.33","1","3","4","4","4","4","3","4","5","4","5","3","3","3","3","3","4","2","3","3","3","3","4","2","3","5","5","3","2","3","2","2","4","5","3","1","4","3","2","5"
"1191","1","30","1","1","1","0.5","1","5","5","4","2","5","2","5","3","4","3","3","3","3","2","1","4","1","1","1","3","3","4","2","2","3","5","4","4","1","2","3","2","4","4","2","3","2","2","4"
"1192","1","27","1","1","1","1","1","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","4","5","5","5","5","4","4","5","5","4","5","4","5","5","5","4","4","4","2","4","3","3","2"
"1193","2","23","1","1","1","0.5","1","3","4","4","3","3","4","4","4","4","4","3","3","2","2","4","3","2","3","3","3","3","3","4","3","4","3","3","2","4","3","3","2","3","3","3","4","4","4","3"
"1194","2","25","2","1","1","2","1","2","5","5","4","5","4","5","2","2","3","5","5","5","5","5","5","3","4","3","5","4","5","3","5","4","5","5","5","5","5","5","3","4","4","1","3","2","1","1"
"1195","2","23","2","1","1","0.41","1","2","1","1","1","2","1","1","1","1","1","2","1","1","3","2","1","1","1","1","1","1","1","3","1","1","1","2","1","2","3","3","2","3","3","4","4","3","3","4"
"1196","2","25","1","1","1","5","3","2","3","2","3","2","2","2","3","3","2","3","4","2","2","1","4","2","1","2","4","4","2","3","2","4","4","3","4","2","4","3","2","3","4","3","2","2","2","2"
"1197","2","26","1","1","1","2","1","3","5","4","3","3","4","3","1","1","3","4","4","4","4","3","3","3","3","4","3","4","5","3","4","3","3","3","3","5","5","5","3","5","5","3","4","4","3","1"
"1198","1","23","1","1","1","1.5","1","3","3","4","4","5","3","5","2","","2","2","3","2","1","4","5","1","2","2","3","3","4","5","4","1","3","","1","1","4","5","4","4","1","1","5","3","4","3"
"1199","2","22","2","1","1","1.5","3","5","5","5","5","5","4","4","4","5","4","4","5","4","3","4","4","3","3","4","5","5","4","4","5","4","4","5","4","5","4","5","3","3","3","2","4","2","2","3"
"1200","1","27","1","1","3","0.33","1","3","3","4","4","4","4","3","3","2","4","5","3","5","5","5","5","1","2","2","4","3","4","4","5","3","5","3","4","4","4","5","4","5","4","1","4","1","3","1"
"1201","1","24","1","1","2","4","3","5","5","5","5","4","3","5","2","4","5","4","4","3","4","4","4","5","4","3","3","5","4","4","4","4","3","3","4","5","5","4","5","5","5","1","2","1","1","1"
"1202","1","24","2","2","1","1.67","1","1","5","4","5","3","3","5","5","2","3","5","4","5","3","5","5","4","5","4","3","5","5","5","5","5","5","4","4","3","4","3","5","5","5","1","3","1","1","1"
"1203","2","23","2","1","1","0.42","3","3","3","3","1","1","1","3","1","1","2","3","2","3","5","2","4","2","3","3","3","2","4","3","3","2","1","3","4","2","4","2","4","2","2","3","4","2","4","1"
"1204","2","25","1","1","1","4","1","2","3","4","3","2","3","2","3","2","4","2","1","1","1","2","1","1","2","2","2","2","2","2","2","2","3","3","1","1","2","3","2","3","2","4","4","4","4","4"
"1205","2","51","1","1","1","23","1","4","4","3","3","4","3","4","2","4","1","4","3","3","3","2","3","2","2","2","3","3","2","2","3","3","3","3","3","4","4","4","3","3","2","3","3","3","3","3"
"1206","1","54","1","1","2","2","1","1","3","4","3","4","3","3","3","2","3","4","4","4","4","4","4","4","4","4","4","3","4","3","3","3","2","4","3","2","4","4","4","4","4","2","2","2","3","3"
"1207","2","24","1","1","1","3","1","2","4","3","4","3","2","3","4","4","5","3","2","3","3","3","3","2","2","2","1","1","3","3","3","3","4","4","3","3","3","4","3","4","4","3","4","4","3","1"
"1208","2","46","1","1","1","8","1","2","3","1","3","2","3","1","3","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","3","3","4","4","4","5","4","5"
"1209","1","33","1","1","1","3.5","1","2","3","2","1","2","2","3","3","3","4","1","1","1","2","2","1","1","1","1","1","2","1","2","1","1","2","2","1","1","1","1","1","2","2","4","4","3","4","4"
"1210","2","42","1","1","1","2.42","1","2","3","2","2","3","2","2","3","4","5","1","2","2","1","1","1","1","1","1","1","1","2","2","2","2","3","2","1","1","1","2","3","4","3","5","4","5","3","3"
"1211","2","34","1","1","1","4","3","2","3","1","1","4","1","3","2","1","4","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","3","4","3","4","4","4","4","5"
"1212","2","46","2","1","2","16","1","3","5","5","5","5","5","4","4","5","4","5","5","5","2","2","5","4","4","4","4","4","4","4","4","3","3","4","5","4","3","4","5","5","5","2","4","2","3","1"
"1213","2","45","1","2","1","20","1","5","4","3","4","3","3","4","3","4","5","3","3","4","5","3","4","2","2","2","3","4","4","3","3","3","4","4","3","3","3","3","3","3","3","2","2","2","2","2"
"1214","2","54","1","1","1","24","3","1","2","2","3","1","2","2","2","1","4","3","2","4","3","3","3","3","2","2","4","4","2","3","2","2","1","5","1","3","2","2","5","5","5","4","4","4","4","2"
"1215","1","55","1","1","2","6","1","2","5","5","5","5","5","4","2","1","2","5","5","5","5","4","5","2","2","4","4","5","5","4","5","4","5","5","5","4","5","5","5","5","4","1","1","1","1","1"
"1216","2","28","1","1","1","7","3","2","5","5","5","5","3","3","5","1","3","5","4","5","5","3","5","3","3","3","3","3","5","3","5","3","5","5","5","3","5","5","5","5","4","1","1","1","1","1"
"1217","1","52","1","1","2","26","1","3","5","5","4","5","3","5","3","5","3","5","4","2","2","3","3","1","2","2","5","5","4","3","3","4","5","5","5","4","4","4","4","4","4","2","2","2","2","1"
"1218","2","49","1","1","1","27","3","5","5","3","5","4","3","5","4","3","5","4","4","4","2","3","2","2","2","2","4","4","4","3","4","4","4","4","3","3","3","4","5","3","3","2","4","2","2","4"
"1219","1","52","1","1","2","32","1","2","4","4","4","4","4","4","3","3","3","3","","3","4","4","4","3","4","3","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","2","2","2","3","2"
"1220","2","48","1","1","1","15","1","3","3","3","4","3","3","4","4","5","4","4","4","4","4","4","3","3","3","3","4","4","4","3","4","3","3","3","4","3","4","3","4","4","3","1","2","1","1","1"
"1221","1","53","1","1","1","15","3","4","3","1","3","2","3","2","4","4","3","1","1","2","2","1","3","1","1","1","2","4","3","3","3","3","3","4","3","2","4","2","2","4","2","4","2","2","2","3"
